id,author,title,content,rating,updated,im:version
14235837429,feriviarium,Too many ads and no loop option,It plays an ad too frequently and I can’t loop it maybe it’s because I don’t know where to look but nonetheless it isn’t clear,2,2026-06-28T00:16:01-07:00,9.1.60
14235816343,LuBrockme,Adds,The adds on music is not bad put on podcasts it is pretty frequent,4,2026-06-28T00:07:28-07:00,9.1.60
14235790873,Random cumming,E,E,5,2026-06-27T23:57:14-07:00,9.1.60
14235773688,Albacore Sniffle,Everything is there,"Every song I want is there and it’s great. I wish there were certain permanent settings you could use to improve the ai dj, but it’s really good for all sorts of things related to music or videos",5,2026-06-27T23:50:16-07:00,9.1.60
14235767260,Bryce’s best review,My review,It is a fantastic app you can make playlist and all kinds of things.You can listen to different genres of music. There is some adds but you can but a pack and it will get rid of them.,5,2026-06-27T23:47:45-07:00,9.1.60
14235754463,Eliluvsmefr,Uh yeah,Spotify my bae frr I love you Spotify 😭,5,2026-06-27T23:42:29-07:00,9.1.60
14235651728,Carlotta Atchley,Carlotta Atchley,"Great free music with Student Discount, Walmart and Sam’s Plus",5,2026-06-27T23:01:08-07:00,9.1.60
14235642401,Адам о,Password removal! I’m deleting the application!,The company constantly deletes my password! Me and all my friends are going back to ituns! Spots 👎👎👎,1,2026-06-27T22:57:20-07:00,9.1.60
14235632193,buns pink eye story,music,has bin there through my highs and lows,5,2026-06-27T22:53:06-07:00,9.1.60
14235631588,treelover898,Suggestion,Love Spotify. Wish it had a karaoke feature.,4,2026-06-27T22:52:50-07:00,9.1.60
14235628580,dab tab,So laggy nowadays,"If they didn’t take Musi off the App Store , I’ve been using Spotify since 2019 and it’s been lagging like crazy can’t even play a song that’s downloaded without it talking like 5 mins to load",2,2026-06-27T22:51:35-07:00,9.1.60
14235624531,I didnt want to do this part,I didn’t want to put a title but it made me,Has every song you could think of and a helpful AI to get the songs you can’t place out of your head,5,2026-06-27T22:49:53-07:00,9.1.60
14235612937,Eva C.,"Slower, but glad that Spotify isn’t advertising for ICE anymore","Spotify playback is really lagging: songs, artist profiles, playlists, and podcasts are all consistently loading much slower than they used to. For how much of a drag this is, I think premium subscriptions are overpriced. I’m very glad that Spotify ceased advertising ICE recruitment ads, because I boycotted Spotify as a result of that (and encouraged others to do the same!) Once Spotify stopped airing advertisements for ICE recruitment, I did return to the platform because I enjoy accessing my playlists and podcasts from the same app. That said, now that I’ve returned, user experience has diminished due to the slowness and decrease in playback quality. Also, I wish artists were paid fairly for their work!",3,2026-06-27T22:45:04-07:00,9.1.60
14235603681,¥aB0Y$torm,Excellent music,"Ads are a bit long, 6 skips can be annoying, but this is a great music app! I can play all the music I want, but despite the ads, this is the music app I use the most! 5 stars, would suggest!",5,2026-06-27T22:41:13-07:00,9.1.60
14235593571,Smurfy-Lee,My main app for music; still deciding if I like the audiobook feature,"My book I was reading was removed while I waited for my hours to be replenished. I just checked and it has been added back. The only issue is, now I do not know where I stopped because the book has been reset.",3,2026-06-27T22:36:59-07:00,9.1.60
